x,y,orig_success,fix_success,human_success,fix_steps,human_steps
9,64,0,0,1,2,
1,65,1,1,1,1,1
2,65,1,1,1,1,2
3,65,1,1,1,1,2
4,65,1,1,1,2,3
6,65,1,1,1,1,2
1,66,1,1,1,1,1
5,66,0,0,1,3,
7,66,0,0,1,3,
13,66,0,0,1,3,
17,66,0,0,1,2,
1,67,1,1,1,1,1
2,67,1,1,1,1,2
3,67,1,1,1,2,3
4,67,1,1,1,1,2
5,67,1,1,1,3,4
1,68,1,1,1,1,1
3,68,1,1,1,1,2
5,68,0,0,1,2,
7,68,0,0,1,2,
9,68,0,0,1,2,
1,69,1,1,1,1,1
2,69,1,1,1,1,2
4,69,0,0,1,2,
5,69,1,1,1,1,2
7,69,1,1,1,1,2
1,70,1,1,1,1,1
3,70,0,0,1,2,
9,70,0,0,1,2,
11,70,0,0,1,2,
13,70,0,0,1,3,
1,71,1,1,1,1,1
2,71,1,1,1,1,2
3,71,1,1,1,1,2
4,71,1,1,1,1,2
5,71,1,1,1,2,3
1,72,1,1,1,1,1
5,72,0,0,1,2,
7,72,0,0,1,3,
11,72,0,0,1,3,
13,72,0,0,1,2,
1,73,1,1,1,1,1
2,73,1,1,1,1,2
3,73,1,1,1,2,3
4,73,1,1,1,3,4
5,73,1,1,1,2,3
1,74,1,1,1,1,1
3,74,1,1,1,1,2
5,74,1,1,1,1,2
7,74,1,1,1,2,3
9,74,1,1,1,3,4
1,75,1,1,1,1,1
2,75,1,1,1,1,2
4,75,1,1,1,1,2
7,75,1,1,1,2,3
8,75,0,0,1,2,
1,76,1,1,1,1,1
3,76,0,0,1,2,
5,76,0,0,1,2,
7,76,1,1,1,1,2
9,76,0,0,1,3,
1,77,1,1,1,1,1
2,77,1,1,1,1,2
3,77,1,1,1,1,2
4,77,1,1,1,2,3
5,77,1,1,1,2,3
1,78,1,1,1,1,1
5,78,0,0,1,2,
7,78,0,0,1,2,
11,78,0,0,1,3,
17,78,0,0,1,3,
1,79,1,1,1,1,1
2,79,1,1,1,1,2
3,79,1,1,1,2,3
4,79,1,1,1,1,2
5,79,1,1,1,1,2
1,80,1,1,1,1,1
3,80,1,1,1,1,2
7,80,0,0,1,2,
9,80,1,1,1,1,2
11,80,0,0,1,2,
1,81,1,1,1,1,1
2,81,1,1,1,1,2
4,81,0,0,1,2,
5,81,0,0,1,3,
7,81,0,0,1,2,
1,82,1,1,1,1,1
3,82,0,0,1,2,
5,82,0,0,1,3,
7,82,0,0,1,2,
9,82,0,0,1,4,
1,83,1,1,1,1,1
2,83,1,1,1,1,2
3,83,1,1,1,1,2
4,83,1,1,1,1,2
5,83,1,1,1,2,3
1,84,1,1,1,1,1
5,84,1,1,1,1,2
11,84,0,0,1,2,
13,84,0,0,1,2,
17,84,1,1,1,1,2
1,85,1,1,1,1,1
2,85,1,1,1,1,2
3,85,1,1,1,2,3
4,85,1,1,1,3,4
6,85,0,0,1,2,
1,86,1,1,1,1,1
3,86,1,1,1,1,2
5,86,0,0,1,3,
7,86,0,0,1,4,
9,86,0,0,1,3,
1,87,1,1,1,1,1
2,87,1,1,1,1,2
4,87,1,1,1,1,2
5,87,0,0,1,2,
7,87,1,1,1,2,3
1,88,1,1,1,1,1
3,88,0,0,1,2,
5,88,0,0,1,2,
7,88,0,0,1,3,
9,88,0,0,1,2,
1,89,1,1,1,1,1
2,89,1,1,1,1,2
3,89,1,1,1,1,2
4,89,1,1,1,2,3
5,89,1,1,1,1,2
1,90,1,1,1,1,1
7,90,1,1,1,1,2
11,90,0,0,1,2,
13,90,1,1,1,1,2
17,90,0,0,1,3,
1,91,1,1,1,1,1
2,91,1,1,1,1,2
3,91,1,1,1,2,3
4,91,1,1,1,1,2
5,91,1,1,1,2,3
1,92,1,1,1,1,1
3,92,1,1,1,1,2
5,92,1,1,1,2,3
7,92,0,0,1,3,
9,92,0,0,1,4,
1,93,1,1,1,1,1
2,93,1,1,1,1,2
4,93,0,0,1,2,
5,93,1,1,1,2,3
7,93,1,1,1,3,4
1,94,1,1,1,1,1
3,94,0,0,1,2,
5,94,1,1,1,1,2
7,94,0,0,1,3,
9,94,1,1,1,2,3
1,95,1,1,1,1,1
2,95,1,1,1,1,2
3,95,1,1,1,1,2
4,95,1,1,1,1,2
6,95,1,1,1,1,2
1,96,1,1,1,1,1
5,96,0,0,1,2,
7,96,0,0,1,2,
11,96,0,0,1,2,
13,96,0,0,1,2,
1,97,1,1,1,1,1
2,97,1,1,1,1,2
3,97,1,1,1,2,3
4,97,1,1,1,3,4
5,97,1,1,1,3,4
1,98,1,1,1,1,1
3,98,1,1,1,1,2
5,98,0,0,1,2,
9,98,1,1,1,1,2
11,98,1,1,1,1,2
1,99,1,1,1,1,1
2,99,1,1,1,1,2
4,99,1,1,1,1,2
5,99,1,1,1,1,2
7,99,0,0,1,3,
1,100,1,1,1,1,1
3,100,0,0,1,2,
7,100,0,0,1,2,
9,100,0,0,1,3,
11,100,0,0,1,2,
1,101,1,1,1,1,1
2,101,1,1,1,1,2
3,101,1,1,1,1,2
4,101,1,1,1,2,3
5,101,1,1,1,3,4
1,102,1,1,1,1,1
5,102,0,0,1,2,
7,102,0,0,1,2,
11,102,0,0,1,3,
13,102,0,0,1,2,
1,103,1,1,1,1,1
2,103,1,1,1,1,2
3,103,1,1,1,2,3
4,103,1,1,1,1,2
5,103,1,1,1,2,3
1,104,1,1,1,1,1
3,104,1,1,1,1,2
5,104,1,1,1,1,2
7,104,1,1,1,1,2
9,104,0,0,1,2,
1,105,1,1,1,1,1
2,105,1,1,1,1,2
4,105,0,0,1,2,
8,105,0,0,1,2,
11,105,0,0,1,2,
1,106,1,1,1,1,1
3,106,0,0,1,2,
5,106,0,0,1,3,
7,106,0,0,1,3,
9,106,0,0,1,2,
1,107,1,1,1,1,1
2,107,1,1,1,1,2
3,107,1,1,1,1,2
4,107,1,1,1,1,2
5,107,1,1,1,2,3
1,108,1,1,1,1,1
5,108,0,0,1,2,
7,108,0,0,1,2,
11,108,0,0,1,2,
13,108,0,0,1,2,
1,109,1,1,1,1,1
2,109,1,1,1,1,2
3,109,1,1,1,2,3
4,109,1,1,1,3,4
5,109,1,1,1,1,2
1,110,1,1,1,1,1
3,110,1,1,1,1,2
7,110,0,0,1,2,
9,110,0,0,1,3,
13,110,0,0,1,3,
1,111,1,1,1,1,1
2,111,1,1,1,1,2
4,111,1,1,1,1,2
5,111,1,1,1,2,3
7,111,1,1,1,1,2
1,112,1,1,1,1,1
3,112,0,0,1,2,
5,112,0,0,1,3,
9,112,0,0,1,4,
11,112,0,0,1,5,
1,113,1,1,1,1,1
2,113,1,1,1,1,2
3,113,1,1,1,1,2
4,113,1,1,1,2,3
5,113,1,1,1,2,3
1,114,1,1,1,1,1
5,114,1,1,1,1,2
7,114,1,1,1,2,3
11,114,1,1,1,3,4
13,114,0,0,1,2,
1,115,1,1,1,1,1
2,115,1,1,1,1,2
3,115,1,1,1,2,3
4,115,1,1,1,1,2
6,115,0,0,1,2,
1,116,1,1,1,1,1
3,116,1,1,1,1,2
5,116,0,0,1,2,
7,116,1,1,1,2,3
9,116,1,1,1,1,2
1,117,1,1,1,1,1
2,117,1,1,1,1,2
4,117,0,0,1,2,
5,117,0,0,1,2,
7,117,1,1,1,2,3
1,118,1,1,1,1,1
3,118,0,0,1,2,
5,118,0,0,1,2,
7,118,1,1,1,1,2
9,118,0,0,1,3,
1,119,1,1,1,1,1
2,119,1,1,1,1,2
3,119,1,1,1,1,2
4,119,1,1,1,1,2
5,119,1,1,1,1,2
1,120,1,1,1,1,1
7,120,0,0,1,2,
11,120,1,1,1,1,2
13,120,0,0,1,2,
17,120,0,0,1,3,
